field
id
accountId
account
name
status
currentRankId
currentRank
currentUnitId
currentUnit
currentBilletId
currentBillet
currentMOSId
currentMOS
goodStanding
joinedAt
acceptedAt
separatedAt
createdByAccountId
createdByAccount
createdAt
updatedAt
statusHistory
rankHistory
unitAssignments
billetAssignments
mosHistory
staffAssignments
standingHistory
convertedApplications
loaRequests
eventAttendance
trainingRecords
qualifications
promotionRequests
promotionRecords
awardRequests
awardRecords
disciplinaryRecords
administrativeNotes
supportTickets
auditTargets
militaryService
